Brd-Urb-Rbu.: [r, d' R2 d]
Fdr-Dbr-Fld.: [r, d' L' d]
Ruf-Brd-Urb.: [r, d' R' d]
Ufr-Fdr-Lub.: [r, f' L f]
Drf-Brd-Dfl.: [r, f' R f]
Fdr-Lbd-Ufr.: [r, f' L2 f]
Rdb-Drf-Brd.: [r, f' R2 f]
Ufr-Fdr-Ulf.: [r, f' L' f]
Drf-Brd-Rbu.: [r, f' R' f]
Ldf-Dbr-Bur.: [r, b' L b]
Urb-Fru-Ubl.: [r, b' R b]
Dbr-Bur-Lfu.: [r, b' L2 b]
Fru-Ruf-Urb.: [r, b' R2 b]
Dlb-Dbr-Bur.: [r, b' L' b]
Fru-Rfd-Urb.: [r, b' R' b]
Ufr-Fdr-Blu.: [r, U l U']
Lbd-Dbr-Bur.: [r, U b U']
Fdr-Dlb-Ufr.: [r, U l2 U']
Dbr-Bur-Ulf.: [r, U b2 U']
Fdr-Fld-Ufr.: [r, U l' U']
Rbu-Dbr-Bur.: [r, U b' U']
Fld-Dbr-Bur.: [r, D l D']
Ufr-Fdr-Lfu.: [r, D f D']
Dbr-Bur-Ulf.: [r, D l2 D']
Fdr-Dlb-Ufr.: [r, D f2 D']
Dbr-Bur-Blu.: [r, D l' D']
Fdr-Rfd-Ufr.: [r, D f' D']
Fdr-Dbr-Ulf.: [r, F l F']
Bur-Ufr-Lub.: [r, F u F']
Fdr-Dbr-Blu.: [r, F l2 F']
Ufr-Fld-Bur.: [r, F u2 F']
Fdr-Dbr-Dlb.: [r, F l' F']
Ufr-Ruf-Bur.: [r, F u' F']
Ufr-Dlb-Bur.: [r, B l B']
Fdr-Dbr-Ldf.: [r, B d B']
Ufr-Fld-Bur.: [r, B l2 B']
Fdr-Dbr-Blu.: [r, B d2 B']
Bur-Ufr-Ulf.: [r, B l' B']
Rdb-Fdr-Dbr.: [r, B d' B']
Fru-Drf-Ful.: [r, u L u']
Ufr-Rfd-Bur.: [r, u R u']
Drf-Lbd-Fru.: [r, u L2 u']
Ufr-Rdb-Bur.: [r, u R2 u']
Drf-Ldf-Fru.: [r, u L' u']
Bur-Ufr-Blu.: [r, u R' u']
Bdl-Brd-Urb.: [r, d L d']
Fdr-Dbr-Rbu.: [r, d R d']
Brd-Urb-Lfu.: [r, d L2 d']
Fdr-Dbr-Ruf.: [r, d R2 d']
Brd-Urb-Lub.: [r, d L' d']
Fdr-Dbr-Fld.: [r, d R' d']
Drf-Brd-Dfl.: [r, f L f']
Fdr-Rdb-Ufr.: [r, f R f']
Drf-Brd-Lub.: [r, f L2 f']
Ufr-Fdr-Rbu.: [r, f R2 f']
Drf-Brd-Lbd.: [r, f L' f']
Ufr-Fdr-Ulf.: [r, f R' f']
Urb-Fru-Ubl.: [r, b L b']
Ruf-Dbr-Bur.: [r, b R b']
Fru-Ldf-Urb.: [r, b L2 b']
Rfd-Dbr-Bur.: [r, b R2 b']
Urb-Fru-Lfu.: [r, b L' b']
Dlb-Dbr-Bur.: [r, b R' b']
Ldf-Bdl-Fru.: [d, L' u L]
