RDf-BLd-RBd-FRd-URf.: [d, B U' D B']
LFd-BLd-RBd-FLu-UBr.: [d, L2 B L2 B']
RFu-RBd-FRd-LFd-BDr.: [d, R2 B R2 B']
FDl-BLd-RBd-FRd-ULb.: [d, B U D2 B']
FDl-BLd-RBd-FRd-UFl.: [d, B U2 D2 B']
FDl-BLd-RBd-FRd-URf.: [d, B U' D2 B']
LDb-BLd-RBd-FRd-ULb.: [d, B U D' B']
LDb-BLd-RBd-FRd-UFl.: [d, B U2 D' B']
LDb-BLd-RBd-FRd-URf.: [d, B U' D' B']
DLf-RDf-FDl-UBr-LUf.: [f, L' F B L]
DLf-RDf-FRd-UBr-LUf.: [f, L' F2 B L]
UBr-LUf-DLf-RDf-FUr.: [f, L' F' B L]
DLf-RUb-FLu-URf-LUf.: [f, U2 L' U2 L]
LBu-DRb-DLf-RDf-URf.: [f, D2 L' D2 L]
DLf-RDf-FDl-RBd-LUf.: [f, L' F B2 L]
DLf-RDf-FRd-RBd-LUf.: [f, L' F2 B2 L]
RBd-LUf-DLf-RDf-FUr.: [f, L' F' B2 L]
DLf-RDf-FDl-DBl-LUf.: [f, L' F B' L]
