LBu-FLu-RDf-DLf-LUf.: [L, u d f d' u']
LDb-LFd-BLd-RUb-ULb.: [L, d u b d' u']
LDb-LFd-BLd-RUb-ULb.: [L, u d b d' u']
DLf-FLu-LBu-URf-LUf.: [L, d u f' d' u']
DLf-FLu-LBu-URf-LUf.: [L, u d f' d' u']
BLd-LFd-DRb-LDb-ULb.: [L, d u b' d' u']
BLd-LFd-DRb-LDb-ULb.: [L, u d b' d' u']
LBu-LDb-FRd-DRb-LUf.: [L, u f R2 f' u']
FRd-LBu-LDb-LFd-URf.: [L, u b R2 b' u']
LBu-FLu-RDf-DLf-LUf.: [L, u' d f u d']
LBu-FLu-RDf-DLf-LUf.: [L, d u' f u d']
LDb-LFd-BLd-RUb-ULb.: [L, u' d b u d']
LDb-LFd-BLd-RUb-ULb.: [L, d u' b u d']
DLf-FLu-LBu-URf-LUf.: [L, u' d f' u d']
DLf-FLu-LBu-URf-LUf.: [L, d u' f' u d']
BLd-LFd-DRb-LDb-ULb.: [L, u' d b' u d']
BLd-LFd-DRb-LDb-ULb.: [L, d u' b' u d']
LDb-BRu-LBu-LFd-LUf.: [L, d2 B2 d' B2 d']
LBu-FLu-RDf-DLf-LUf.: [L, d u f u' d']
LBu-FLu-RDf-DLf-LUf.: [L, u d f u' d']
LDb-LFd-BLd-RUb-ULb.: [L, d u b u' d']
LDb-LFd-BLd-RUb-ULb.: [L, u d b u' d']
DLf-FLu-LBu-URf-LUf.: [L, d u f' u' d']
DLf-FLu-LBu-URf-LUf.: [L, u d f' u' d']
BLd-LFd-DRb-LDb-ULb.: [L, d u b' u' d']
BLd-LFd-DRb-LDb-ULb.: [L, u d b' u' d']
LBu-DRb-BRu-LFd-LUf.: [L, d f R2 f' d']
BRu-URf-LDb-LFd-LUf.: [L, d b R2 b' d']
RFu-FLu-LBu-LDb-ULb.: [L, b' f u b f']
RFu-FLu-LBu-LDb-ULb.: [L, f b' u b f']
DLf-RBd-BLd-LFd-LUf.: [L, b' f d b f']
DLf-RBd-BLd-LFd-LUf.: [L, f b' d b f']
LDb-BRu-LBu-FLu-ULb.: [L, b' f u' b f']
LDb-BRu-LBu-FLu-ULb.: [L, f b' u' b f']
FRd-LFd-BLd-DLf-LUf.: [L, b' f d' b f']
FRd-LFd-BLd-DLf-LUf.: [L, f b' d' b f']
LBu-LFd-DRb-LDb-LUf.: [L, f2 D2 f' D2 f']
LBu-LDb-FRd-DRb-LUf.: [L, f u R2 u' f']
LBu-DRb-BRu-LFd-LUf.: [L, f d R2 d' f']
RFu-FLu-LBu-LDb-ULb.: [L, b f u b' f']
RFu-FLu-LBu-LDb-ULb.: [L, f b u b' f']
DLf-RBd-BLd-LFd-LUf.: [L, b f d b' f']
DLf-RBd-BLd-LFd-LUf.: [L, f b d b' f']
LDb-BRu-LBu-FLu-ULb.: [L, b f u' b' f']
LDb-BRu-LBu-FLu-ULb.: [L, f b u' b' f']
FRd-LFd-BLd-DLf-LUf.: [L, b f d' b' f']
FRd-LFd-BLd-DLf-LUf.: [L, f b d' b' f']
RFu-FLu-LBu-LDb-ULb.: [L, f' b u f b']
RFu-FLu-LBu-LDb-ULb.: [L, b f' u f b']
DLf-RBd-BLd-LFd-LUf.: [L, f' b d f b']
DLf-RBd-BLd-LFd-LUf.: [L, b f' d f b']
LDb-BRu-LBu-FLu-ULb.: [L, f' b u' f b']
LDb-BRu-LBu-FLu-ULb.: [L, b f' u' f b']
FRd-LFd-BLd-DLf-LUf.: [L, f' b d' f b']
FRd-LFd-BLd-DLf-LUf.: [L, b f' d' f b']
LDb-LFd-LBu-URf-LUf.: [L, b2 U2 b' U2 b']
FRd-LBu-LDb-LFd-URf.: [L, b u R2 u' b']
BRu-URf-LDb-LFd-LUf.: [L, b d R2 d' b']
RFu-FLu-LBu-LDb-ULb.: [L, b f u f' b']
RFu-FLu-LBu-LDb-ULb.: [L, f b u f' b']
DLf-RBd-BLd-LFd-LUf.: [L, b f d f' b']
DLf-RBd-BLd-LFd-LUf.: [L, f b d f' b']
LDb-BRu-LBu-FLu-ULb.: [L, b f u' f' b']
LDb-BRu-LBu-FLu-ULb.: [L, f b u' f' b']
FRd-LFd-BLd-DLf-LUf.: [L, b f d' f' b']
FRd-LFd-BLd-DLf-LUf.: [L, f b d' f' b']
RUb-BRu-DFr-LUf-FUr.: [U, L' F' u2 F L]
URf-RBd-FDl-ULb-UFl.: [U, L' F' d2 F L]
UBr-BLd-URf-LUf-FUr.: [U, f2 L' f2 u L]
FUr-RBd-LUf-ULb-UFl.: [U, L d2 L2 d L]
