UF-UB-BR-FD-DB.*: [M', B' D2 B']
UL-FL-BL-FR-RB.*: [E', L F2 L]
DL-BR-LB-RF-LF.*: [E', L B2 L]
DR-FL-RF-LB-RB.*: [E', R F2 R]
UR-BR-FR-BL-LF.*: [E', R B2 R]
DF-LB-FL-BR-FR.*: [E', F L2 F]
UF-RF-LF-RB-BL.*: [E', F R2 F]
UB-LB-RB-LF-FR.*: [E', B L2 B]
DB-RF-BR-FL-BL.*: [E', B R2 B]
DL-FL-BL-FR-RB.*: [E', L' F2 L']
UL-BR-LB-RF-LF.*: [E', L' B2 L']
UR-FL-RF-LB-RB.*: [E', R' F2 R']
DR-BR-FR-BL-LF.*: [E', R' B2 R']
UF-LB-FL-BR-FR.*: [E', F' L2 F']
DF-RF-LF-RB-BL.*: [E', F' R2 F']
DB-LB-RB-LF-FR.*: [E', B' L2 B']
UB-RF-BR-FL-BL.*: [E', B' R2 B']
UL-DL-UR-RD-BL.*: [S', L U2 L]
UL-LF-RD-DL-UR.*: [S', L D2 L]
UF-DL-LU-RD-RU.*: [S', U L2 U]
UL-DR-LD-UB-UR.*: [S', U R2 U]
UL-RU-LD-RD-FR.*: [S', R U2 R]
UL-RB-RD-RU-LD.*: [S', R D2 R]
UL-RU-DB-DL-DR.*: [S', D L2 D]
UL-DL-FD-RU-DR.*: [S', D R2 D]
UL-DL-UR-RD-FL.*: [S', L' U2 L']
UL-LB-RD-DL-UR.*: [S', L' D2 L']
UL-DR-UR-BU-LD.*: [S', U' L2 U']
UF-UR-UL-DR-LD.*: [S', U' R2 U']
UL-RU-LD-RD-BR.*: [S', R' U2 R']
UL-RF-RD-RU-LD.*: [S', R' D2 R']
UL-RU-DF-DL-DR.*: [S', D' L2 D']
UL-DL-BD-RU-DR.*: [S', D' R2 D']
